Row Labels,Sum of EffectiveCost,,,EU (Frankfurt),36,,Row Labels,Sum of EffectiveCost
West US 2,298.745057,,,Tagged,36,,dev,1395.28897
Partially Tagged,13.18790481,,,Untagged,0,,Partially Tagged,16.28896989
Untagged,285.5571522,,,,,,Tagged,1379
East US,94.60377865,,,us-sanjose-1,23,,prod,311.0110534
Partially Tagged,84.5986396,,,Tagged,23,,Partially Tagged,232.0108134
Untagged,10.00513904,,,,,,Tagged,79.00024
East US 2,52.66766386,,,,,,trey,5.73910282
Partially Tagged,48.73038048,,,,,,Partially Tagged,5.73910282
Untagged,3.937283382,,,,,,Unallocated,-797.439171
(blank),40.32,,,,,,Partially Tagged,3.028111016
Untagged,40.32,,,,,,Untagged,-800.467282
South Central US,38.29798494,,,,,,Grand Total,914.5999551
Partially Tagged,32.99109296,,,,,,,
Untagged,5.306891976,,,,,,,
West US,36.59355204,,,,,,,
Partially Tagged,26.11268254,,,,,,,
Untagged,10.4808695,,,,,,,
West Central US,19.20001622,,,,,,,
